hhid,ACCOUNT_TYPE,billmonth,contractdt,churn,LINE_COUNT,TOTAL_REV_AMT_MAR07,TOTAL_REV_AMT_APR07,TOTAL_REV_AMT_MAY07,TOTAL_REV_AMT_JUN07,TOTAL_REV_AMT_JUL07,TOTAL_REV_AMT_AUG07,TOTAL_REV_AMT_SEP07,TOTAL_REV_AMT_OCT07,TOTAL_REV_AMT_NOV07,TOTAL_REV_AMT_DEC07,TOTAL_REV_AMT_JAN08,TOTAL_REV_AMT_FEB08,TOTAL_REV_AMT_MAR08,TOTAL_REV_AMT_APR08,TOTAL_REV_AMT_MAY08,t2
26670307,I,May 08,04/27/2007,0,5,47.899993896,70.899963379,142.2199707,69,64.349975586,64.699951172,50.949981689,53.949981689,66.679992676,235.31994629,47.739990234,50.489990234,48.989990234,59.739990234,175.53991699,13
26670954,B,Nov 07,06/16/2006,0,4,37.489990234,35.989990234,35.989990234,37.489990234,37.489990234,38.989990234,38.989990234,35.989990234,43.489990234,35.989990234,35.989990234,35.989990234,35.989990234,38.989990234,75.879943848,17
26670977,I,Dec 07,09/28/2007,0,5,40.949981689,40.949981689,40.949981689,40.949981689,40.949981689,31,61.329986572,44.16998291,61.029998779,33.189971924,30.789993286,31.039993286,30.789993286,31.789993286,62.079986572,3
26673084,B,Jun 07,04/13/2005,1,0,29.959991455,30.259994507,30.409988403,30.559997559,,,,,,,,,,,,26
26673927,I,May 08,04/13/2006,1,0,29.329986572,28.429992676,28.429992676,29.329986572,13.169998169,28.429992676,30.229995728,38.429992676,32.129974365,36.029998779,37.629974365,33.429992676,41.229980469,38.229980469,,25
216150141,I,JAN 08,02/02/2008,0,4,27.429992676,27.429992676,31.779998779,30.729995728,35.829986572,27.929992676,34.229980469,28.629989624,27.429992676,27.429992676,44.629974365,33.829986572,67.529968262,47.129974365,37.679992676,-1
26676730,I,Dec 07,07/17/2005,1,0,52.339996338,97.189941406,50.469970703,77.779968262,71.679992676,51.889984131,51.889984131,51.889984131,0,226.32995605,,,110.64996338,93.049987793,101.57995605,29
217012507,I,FEB 08,09/09/2005,0,3,74.929992676,74.929992676,74.929992676,74.929992676,74.929992676,74.929992676,74.929992676,74.929992676,74.929992676,71.16998291,38,33.329986572,33.329986572,34.079986572,33.329986572,29
26679929,I,May 08,04/01/2005,0,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,37
244511554,I,Nov 07,07/01/2007,1,0,89.539978027,67.159973145,34.899993896,34.899993896,47.179992676,49.849975586,71.099975586,45.599975586,61.599975586,,,,,,,4
216038038,I,Jul 07,06/03/2006,0,2,54.41998291,31.319992065,29.219985962,32.219970703,51.579986572,30.879989624,30.879989624,32.379974365,30.879989624,104.00994873,59.949981689,54.849975586,56.649993896,57.25,14.119995117,13
26682126,I,FEB 08,01/25/2006,1,0,68.849975586,65.849975586,65.849975586,65.849975586,68.349975586,84.439941406,55.899993896,56.399993896,58.899993896,59.149993896,55.899993896,55.899993896,,,,25
26683846,I,Aug 07,12/08/2006,0,5,40,40,40,40,40,40,41.5,43,107.79998779,40,40,40,40,135.19995117,41.199981689,8
