id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,2019-07-19,2019-07-19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,21,2018-12-11,2019-01-05,63,0,0,1,17,0,0,1,0,1,0,0,0,0,0,2
4,1,1,2019-05-24,2019-05-24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,1,1,2019-02-20,2019-02-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,2019-03-16,2019-03-16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,2019-03-08,2019-03-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,2019-03-01,2019-03-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
9,4,6,2019-05-02,2019-05-27,28,0,7,1,4,0,0,0,0,0,2,0,0,0,0,0
10,66,76,2018-12-06,2019-08-31,534,64,176,2,51,0,18,24,4,5,13,1,0,0,6,131
11,51,52,2018-12-25,2019-05-24,381,7,67,3,9,0,5,5,2,0,1,0,0,1,0,16
12,60,92,2019-01-20,2019-08-07,422,4,78,2,77,0,2,4,0,0,0,3,0,3,0,9
13,1,1,2019-04-14,2019-04-14,3,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0
14,1,1,2019-02-13,2019-02-13,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
15,41,53,2019-04-16,2019-07-03,572,119,167,1,7,0,4,7,2,2,13,0,0,0,0,9
16,1,1,2019-08-29,2019-08-29,13,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,1,2019-05-31,2019-05-31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,1,2019-06-15,2019-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
19,4,4,2019-02-26,2019-03-04,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,1,2,2019-03-20,2019-03-20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,10,11,2019-08-17,2019-08-31,10,1,0,24,27,0,0,0,0,0,0,0,0,0,0,0
22,73,488,2019-02-22,2019-07-22,1028,218,1373,89,558,1,68,132,83,152,79,68,0,33,21,1703
23,154,529,2019-03-25,2019-08-31,3318,5,142,105,527,0,39,7,9,10,2,9,0,0,0,72
24,1,2,2019-04-21,2019-04-21,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,2019-04-25,2019-04-25,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26,2,2,2019-04-21,2019-04-28,28,1,5,0,0,0,0,0,0,0,0,0,0,0,0,14
27,1,1,2019-05-21,2019-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
28,3,4,2019-03-03,2019-03-23,10,1,2,2,3,0,0,0,1,0,1,1,0,0,0,0
29,1,1,2019-04-08,2019-04-08,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,2018-11-25,2018-11-25,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
31,1,1,2019-07-08,2019-07-08,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2,2,2019-03-26,2019-04-26,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
