,video,internet,phone,age,income,HHsize,married,children,cluster
0,79.409973145,42.5,0.0,28.0,1.0,1.0,0.0,0.0,0
1,83.913952637,53.7,0.0,40.0,6.0,1.0,0.0,0.0,0
2,81.838980103,30.0,12.5,48.0,3.0,3.0,0.0,1.0,1
3,67.071948242,29.4,0.0,50.0,7.0,4.0,1.0,1.0,0
4,82.819946289,40.0,10.0,68.0,7.0,3.0,1.0,0.0,1
5,113.94197998,55.6,16.0,60.0,5.0,5.0,1.0,0.0,1
6,29.728991699,36.5,25.0,46.0,6.0,3.0,1.0,1.0,1
7,6.4569946288999995,60.6,0.0,64.0,5.0,7.0,1.0,1.0,0
8,78.191967773,50.2,27.949996948000003,66.0,6.0,5.0,1.0,0.0,1
9,9.068328857400001,67.041666667,0.0,52.0,3.0,2.0,1.0,0.0,0
10,184.35393066,38.4,0.0,64.0,7.0,3.0,1.0,0.0,0
11,7.0,0.0,0.0,18.0,3.0,2.0,1.0,0.0,2
12,57.491973877,35.0,15.0,52.0,1.0,1.0,0.0,0.0,1
13,105.34197998,48.6,23.0,50.0,9.0,4.0,1.0,1.0,1
14,152.41191406,3.6,0.0,50.0,6.0,2.0,1.0,0.0,2
15,33.0,10.0,0.0,60.0,5.0,3.0,0.0,1.0,0
16,30.74599762,0.0,25.0,96.0,3.0,2.0,0.0,0.0,2
17,102.27194824,0.0,0.0,54.0,1.0,5.0,1.0,0.0,2
18,125.29199219,0.0,0.0,94.0,9.0,2.0,1.0,0.0,2
19,97.809997559,50.0,3.75,46.0,6.0,6.0,1.0,1.0,1
20,74.651989746,0.0,8.0,86.0,1.0,2.0,0.0,1.0,2
21,81.648968506,30.0,0.0,40.0,4.0,2.0,1.0,0.0,0
22,66.809997559,65.0,0.0,42.0,5.0,5.0,0.0,1.0,0
23,78.597998047,39.3,26.25,68.0,1.0,3.0,1.0,0.0,1
24,50.409973145,35.0,0.0,38.0,4.0,5.0,1.0,1.0,0
25,69.845977783,41.4,0.0,62.0,6.0,1.0,0.0,0.0,0
26,22.0,40.0,15.25,28.0,2.0,1.0,0.0,0.0,1
27,65.60999755899999,0.0,9.15,52.0,1.0,1.0,0.0,0.0,2
28,71.441949463,0.0,0.0,74.0,8.0,2.0,1.0,0.0,2
29,86.77194824200001,46.4,0.0,56.0,9.0,4.0,1.0,1.0,0
30,29.728991699,35.0,0.0,52.0,4.0,2.0,0.0,1.0,0
31,30.991989135999997,35.0,0.0,72.0,1.0,1.0,0.0,0.0,0
32,110.58397217,52.2,22.949996948000003,30.0,1.0,2.0,0.0,0.0,1
33,66.809997559,55.0,0.0,24.0,2.0,1.0,0.0,0.0,0
34,51.745986938,30.0,25.0,50.0,2.0,2.0,1.0,0.0,1
35,72.845977783,25.0,20.0,66.0,1.0,2.0,0.0,1.0,1
36,54.055957031000005,62.0,0.0,66.0,5.0,2.0,1.0,0.0,0
37,83.569946289,45.0,0.0,36.0,8.0,2.0,1.0,0.0,0
38,69.061975098,0.0,0.0,60.0,6.0,3.0,1.0,0.0,2
39,78.197998047,35.0,20.25,60.0,6.0,2.0,1.0,0.0,1
40,153.42891846,47.709979248,12.494998932,54.0,4.0,2.0,0.0,0.0,1
41,32.423999023,0.0,0.0,58.0,5.0,2.0,0.0,0.0,2
42,126.77827962,35.0,10.0,44.0,6.0,6.0,1.0,1.0,1
43,21.631994629,45.0,0.0,46.0,3.0,1.0,0.0,0.0,0
44,85.659973145,35.0,10.0,42.0,1.0,3.0,0.0,1.0,1
45,88.32896118200001,37.709979248,0.0,28.0,6.0,1.0,0.0,0.0,0
46,93.126971436,41.8,16.5,48.0,6.0,4.0,1.0,1.0,1
47,74.34197998,32.2,25.0,82.0,3.0,1.0,0.0,0.0,1
48,104.89196777,55.0,15.0,24.0,1.0,2.0,0.0,0.0,1
49,77.41998291,41.0,10.0,,,,,,1
